contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,optionType,expirationDate,days_to_expire,time_to_expire_years,underlyingPrice,moneyness
QQQ260212C00500000,2026-02-06 20:46:27+00:00,500.0,110.01,110.41,110.82,0.0,0.0,1.0,2,2.1845748510742187,True,REGULAR,USD,call,2026-02-12,-1,-0.0027397260273972603,609.5499877929688,1.2190999755859375
QQQ260212C00505000,2026-02-11 20:54:19+00:00,505.0,108.93,105.49,106.0,0.0,0.0,10.0,10,2.1406296484375,True,REGULAR,USD,call,2026-02-12,-1,-0.0027397260273972603,609.5499877929688,1.207029678797958
QQQ260212C00540000,2026-02-11 20:19:45+00:00,540.0,73.83,70.49,70.99,0.0,0.0,7.0,7,1.4985376635742185,True,REGULAR,USD,call,2026-02-12,-1,-0.0027397260273972603,609.5499877929688,1.128796273690683
QQQ260212C00560000,2026-02-10 18:05:58+00:00,560.0,55.0,50.59,51.0,0.0,0.0,,10,1.1455120849609375,True,REGULAR,USD,call,2026-02-12,-1,-0.0027397260273972603,609.5499877929688,1.0884821210588729
QQQ260212C00564000,2026-02-11 20:57:50+00:00,564.0,49.74,46.45,46.87,0.0,0.0,1.0,1,1.041508698730469,True,REGULAR,USD,call,2026-02-12,-1,-0.0027397260273972603,609.5499877929688,1.0807623897038452
QQQ260212C00565000,2026-02-11 20:57:50+00:00,565.0,48.69,45.57,46.0,0.0,0.0,1.0,7,1.0502977172851562,True,REGULAR,USD,call,2026-02-12,-1,-0.0027397260273972603,609.5499877929688,1.078849535916759
QQQ260212C00570000,2026-02-12 14:47:49+00:00,570.0,43.43,40.48,40.87,-0.95000076,-2.1406054,3.0,66,0.9345709667968749,True,REGULAR,USD,call,2026-02-12,-1,-0.0027397260273972603,609.5499877929688,1.0693859434964363
QQQ260212C00571000,2026-02-11 18:37:53+00:00,571.0,41.82,39.78,40.15,0.0,0.0,1.0,1,0.9721682470703125,True,REGULAR,USD,call,2026-02-12,-1,-0.0027397260273972603,609.5499877929688,1.0675131134728
QQQ260212C00574000,2026-02-09 21:06:09+00:00,574.0,40.96,37.0,37.42,0.0,0.0,,10,0.9565434033203124,True,REGULAR,USD,call,2026-02-12,-1,-0.0027397260273972603,609.5499877929688,1.0619337766428028
QQQ260212C00575000,2026-02-12 14:39:54+00:00,575.0,39.86,35.58,35.99,1.6500015,4.3182454,5.0,389,0.8623060644531251,True,REGULAR,USD,call,2026-02-12,-1,-0.0027397260273972603,609.5499877929688,1.0600869352921196
QQQ260212C00576000,2026-02-11 18:37:41+00:00,576.0,36.75,34.58,34.99,0.0,0.0,1.0,1,0.8432632861328124,True,REGULAR,USD,call,2026-02-12,-1,-0.0027397260273972603,609.5499877929688,1.0582465065850153
QQQ260212C00577000,2026-02-11 18:37:41+00:00,577.0,35.84,33.85,34.29,0.0,0.0,1.0,1,0.8735364208984374,True,REGULAR,USD,call,2026-02-12,-1,-0.0027397260273972603,609.5499877929688,1.0564124571801885
QQQ260212C00580000,2026-02-12 15:08:14+00:00,580.0,31.84,31.0,31.36,-2.0,-5.9101653,32.0,62,0.831056376953125,True,REGULAR,USD,call,2026-02-12,-1,-0.0027397260273972603,609.5499877929688,1.0509482548154634
QQQ260212C00581000,2026-02-09 15:33:43+00:00,581.0,31.46,29.59,30.03,0.0,0.0,,1,0.7512231909179687,True,REGULAR,USD,call,2026-02-12,-1,-0.0027397260273972603,609.5499877929688,1.0491393937916846
QQQ260212C00585000,2026-02-12 14:54:59+00:00,585.0,27.94,25.46,25.88,-0.36999893,-1.306955,35.0,175,0.6499058447265625,True,REGULAR,USD,call,2026-02-12,-1,-0.0027397260273972603,609.5499877929688,1.0419657910990918
QQQ260212C00586000,2026-02-11 18:38:27+00:00,586.0,26.74,24.79,25.07,0.0,0.0,1.0,6,0.6711458666992189,True,REGULAR,USD,call,2026-02-12,-1,-0.0027397260273972603,609.5499877929688,1.0401876924794689
QQQ260212C00588000,2026-02-10 15:27:41+00:00,588.0,25.13,22.8,23.08,-3.1200008,-11.044251,1.0,2,0.631839619140625,True,REGULAR,USD,call,2026-02-12,-1,-0.0027397260273972603,609.5499877929688,1.0366496391036883
QQQ260212C00589000,2026-02-12 14:56:07+00:00,589.0,23.13,21.6,21.91,1.8399982,8.642547,5.0,0,0.5842326733398437,True,REGULAR,USD,call,2026-02-12,-1,-0.0027397260273972603,609.5499877929688,1.034889622738487
QQQ260212C00590000,2026-02-12 14:49:39+00:00,590.0,23.03,20.78,21.03,-1.3699989,-5.61475,8.0,243,0.5854533642578125,True,REGULAR,USD,call,2026-02-12,-1,-0.0027397260273972603,609.5499877929688,1.0331355725304554
QQQ260212C00591000,2026-02-12 14:49:39+00:00,591.0,22.14,19.43,19.78,0.1800003,0.81967354,5.0,1,0.5214891601562499,True,REGULAR,USD,call,2026-02-12,-1,-0.0027397260273972603,609.5499877929688,1.0313874581945326
QQQ260212C00592000,2026-02-12 14:54:38+00:00,592.0,20.99,18.96,19.26,2.58,14.014123,2.0,8,0.5708050732421875,True,REGULAR,USD,call,2026-02-12,-1,-0.0027397260273972603,609.5499877929688,1.029645249650285
QQQ260212C00594000,2026-02-12 15:07:31+00:00,594.0,17.98,16.71,16.93,-4.6000004,-20.372011,10.0,143,0.5046436254882812,True,REGULAR,USD,call,2026-02-12,-1,-0.0027397260273972603,609.5499877929688,1.0261784306278936
