contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,optionType,expirationDate,days_to_expire,time_to_expire_years,underlyingPrice,moneyness
TSLA260213C00080000,2026-02-11 15:36:30+00:00,80.0,354.02,345.25,349.1,12.329987,3.60853,1.0,1,11.949221281738282,True,REGULAR,USD,call,2026-02-13,0,0.0,427.50201416015625,5.3437751770019535
TSLA260213C00120000,2026-01-30 17:07:29+00:00,120.0,315.52,305.7,308.7,0.0,0.0,,2,8.722660798339842,True,REGULAR,USD,call,2026-02-13,0,0.0,427.50201416015625,3.562516784667969
TSLA260213C00130000,2026-02-11 15:33:44+00:00,130.0,291.75,295.6,298.65,0.0,0.0,1.0,1,8.146489283447266,True,REGULAR,USD,call,2026-02-13,0,0.0,427.50201416015625,3.288477032001202
TSLA260213C00140000,2026-02-05 14:36:09+00:00,140.0,257.76,285.7,288.7,0.0,0.0,,6,7.716797229003906,True,REGULAR,USD,call,2026-02-13,0,0.0,427.50201416015625,3.0535858154296873
TSLA260213C00150000,2026-02-12 14:58:48+00:00,150.0,279.36,275.65,278.55,7.319977,2.690772,2.0,10,7.126954216308595,True,REGULAR,USD,call,2026-02-13,0,0.0,427.50201416015625,2.850013427734375
TSLA260213C00160000,2026-02-12 14:56:32+00:00,160.0,269.9,265.65,268.75,6.5,2.4677298,2.0,1,6.896485754394532,True,REGULAR,USD,call,2026-02-13,0,0.0,427.50201416015625,2.6718875885009767
TSLA260213C00170000,2026-02-06 15:54:40+00:00,170.0,239.77,255.55,258.6,0.0,0.0,1.0,1,6.378908276367188,True,REGULAR,USD,call,2026-02-13,0,0.0,427.50201416015625,2.51471773035386
TSLA260213C00180000,2026-02-11 15:36:30+00:00,180.0,241.71,246.1,249.2,0.0,0.0,1.0,29,4.828128964843749,True,REGULAR,USD,call,2026-02-13,0,0.0,427.50201416015625,2.375011189778646
TSLA260213C00190000,2026-02-04 15:51:17+00:00,190.0,223.34,235.7,238.7,0.0,0.0,1.0,1,5.748049689941406,True,REGULAR,USD,call,2026-02-13,0,0.0,427.50201416015625,2.2500106008429275
TSLA260213C00200000,2026-02-12 14:58:48+00:00,200.0,229.39,225.65,228.45,6.2700043,2.810149,2.0,54,5.230472211914062,True,REGULAR,USD,call,2026-02-13,0,0.0,427.50201416015625,2.137510070800781
TSLA260213C00210000,2026-02-12 14:56:32+00:00,210.0,219.04,215.55,218.6,5.599991,2.623684,2.0,9,5.03711307861328,True,REGULAR,USD,call,2026-02-13,0,0.0,427.50201416015625,2.035723876953125
TSLA260213C00220000,2026-02-11 15:32:13+00:00,220.0,202.47,205.25,209.1,0.0,0.0,4.0,10,5.0429724462890615,True,REGULAR,USD,call,2026-02-13,0,0.0,427.50201416015625,1.9431909734552557
TSLA260213C00230000,2026-02-11 15:52:45+00:00,230.0,198.0,195.75,198.75,4.130005,2.130296,1.0,14,4.550785561523437,True,REGULAR,USD,call,2026-02-13,0,0.0,427.50201416015625,1.8587044093919838
